Date,Price,Open,High,Low,Vol.,Change %
14-Aug-13,"5,742.30","5,715.40","5,754.55","5,690.20",223.66M,0.75%
16-Aug-13,"5,507.85","5,705.45","5,716.60","5,496.05",248.09M,-4.08%
19-Aug-13,"5,414.75","5,497.55","5,499.65","5,360.65",219.67M,-1.69%
20-Aug-13,"5,401.45","5,353.45","5,417.80","5,306.35",261.05M,-0.25%
21-Aug-13,"5,302.55","5,494.45","5,504.10","5,268.45",255.00M,-1.83%
22-Aug-13,"5,408.45","5,282.80","5,418.95","5,254.05",284.47M,2.00%
23-Aug-13,"5,471.75","5,428.75","5,478.80","5,377.80",251.51M,1.17%
26-Aug-13,"5,476.50","5,499.40","5,528.70","5,454.45",242.00M,0.09%
27-Aug-13,"5,287.45","5,426.50","5,427.40","5,274.25",306.04M,-3.45%
28-Aug-13,"5,285.00","5,233.45","5,317.70","5,118.85",335.99M,-0.05%
29-Aug-13,"5,409.05","5,316.50","5,428.90","5,303.00",326.50M,2.35%
30-Aug-13,"5,471.80","5,407.45","5,493.30","5,360.20",336.40M,1.16%
2-Sep-13,"5,550.75","5,480.25","5,564.90","5,478.85",214.23M,1.44%
3-Sep-13,"5,341.45","5,574.70","5,580.95","5,323.75",250.30M,-3.77%
4-Sep-13,"5,448.10","5,358.65","5,460.25","5,318.90",237.23M,2.00%
5-Sep-13,"5,592.95","5,553.75","5,625.75","5,552.70",274.94M,2.66%
6-Sep-13,"5,680.40","5,617.45","5,688.60","5,566.15",253.03M,1.56%
10-Sep-13,"5,896.75","5,738.50","5,904.85","5,738.20",275.24M,3.81%
11-Sep-13,"5,913.15","5,887.25","5,924.35","5,832.70",265.01M,0.28%
12-Sep-13,"5,850.70","5,931.15","5,932.00","5,815.80",272.99M,-1.06%
13-Sep-13,"5,850.60","5,828.00","5,884.30","5,822.90",190.77M,0.00%
16-Sep-13,"5,840.55","5,930.30","5,957.25","5,798.15",219.46M,-0.17%
17-Sep-13,"5,850.20","5,824.20","5,857.80","5,804.90",157.94M,0.17%
18-Sep-13,"5,899.45","5,872.75","5,916.90","5,840.20",153.58M,0.84%
19-Sep-13,"6,115.55","6,044.15","6,142.50","6,040.15",287.19M,3.66%
20-Sep-13,"6,012.10","6,104.55","6,130.95","5,932.85",318.64M,-1.69%
23-Sep-13,"5,889.75","5,945.80","5,989.40","5,871.40",188.32M,-2.04%
24-Sep-13,"5,892.45","5,855.00","5,938.40","5,854.55",187.58M,0.05%
25-Sep-13,"5,873.85","5,901.55","5,910.55","5,811.10",200.16M,-0.32%
26-Sep-13,"5,882.25","5,872.80","5,917.65","5,864.10",220.59M,0.14%
27-Sep-13,"5,833.20","5,905.55","5,909.20","5,819.30",163.07M,-0.83%
30-Sep-13,"5,735.30","5,801.05","5,810.20","5,718.50",155.68M,-1.68%
1-Oct-13,"5,780.05","5,756.10","5,786.45","5,700.95",159.25M,0.78%
3-Oct-13,"5,909.70","5,819.10","5,917.60","5,802.70",199.79M,2.24%
4-Oct-13,"5,907.30","5,891.30","5,950.45","5,885.00",191.47M,-0.04%
7-Oct-13,"5,906.15","5,889.05","5,912.00","5,825.85",156.39M,-0.02%
8-Oct-13,"5,928.40","5,975.00","5,981.70","5,913.00",158.53M,0.38%
9-Oct-13,"6,007.45","5,893.25","6,015.50","5,877.10",192.04M,1.33%
10-Oct-13,"6,020.95","6,001.05","6,033.95","5,979.80",159.61M,0.22%
11-Oct-13,"6,096.20","6,104.85","6,107.60","6,046.40",180.83M,1.25%
14-Oct-13,"6,112.70","6,093.00","6,124.10","6,082.90",142.17M,0.27%
15-Oct-13,"6,089.05","6,147.55","6,156.30","6,056.55",218.30M,-0.39%
17-Oct-13,"6,045.85","6,098.50","6,110.75","6,032.55",230.56M,-0.71%
18-Oct-13,"6,189.35","6,070.90","6,201.45","6,070.90",250.34M,2.37%
21-Oct-13,"6,204.95","6,202.00","6,218.95","6,163.30",196.99M,0.25%
22-Oct-13,"6,202.80","6,192.30","6,220.10","6,181.80",161.94M,-0.03%
23-Oct-13,"6,178.35","6,209.55","6,217.95","6,116.60",188.28M,-0.39%
24-Oct-13,"6,164.35","6,162.80","6,252.45","6,142.95",148.91M,-0.23%
25-Oct-13,"6,144.90","6,154.00","6,174.75","6,125.95",144.53M,-0.32%
28-Oct-13,"6,101.10","6,155.10","6,168.75","6,094.10",146.34M,-0.71%
29-Oct-13,"6,220.90","6,107.55","6,228.05","6,079.20",197.35M,1.96%
